"UF","CNPJ","CEP","IE","FLAGS","IND_ORGAO_GOVERNAMENTAL","COD_NATUREZA_JURIDICA","TICO_CODIGO","ENTE_FEDERATIVO","INSCR_SUFRAMA"
"SP","59.649.874/0001-17","01453050","ISENTO","","N","","06","",""
"MG","48.632.817/0001-09","35490000","0044860630076","","N","","03","",""
"SP","45.044.159/0001-46","12917021","ISENTO","","N","205-4","06","",""
"SP","24.691.690/0001-30","14021655","ISENTO","","N","206-2","06","",""
"BA","14.414.973/0001-81","42816280","ISENTO","","N","205-4","06","",""
"SC","02.273.421/0001-11","88349153","253645328","","N","","03","",""
"SP","01.768.732/0001-99","01454020","ISENTO","","N","308-5","06","",""
"SP","43.473.227/0001-67","13720083","ISENTO","","N","","06","",""
"BA","14.038.210/0001-83","44245000","009139062","","N","","03","",""
"GO","32.487.278/0001-21","74275150","107813750","","N","","03","",""
"RS","00.000.000/5513-17","95280000","ISENTO","","S","203-8","06","UNIAO",""
"MS","03.675.544/0001-41","79022300","283129026","","N","","03","",""
"SP","13.644.677/0001-04","04578910","","","N","","04","",""
"SP","52.181.500/0001-70","07222170","796525620114","","N","206-2","03","",""
"SP","06.698.560/0001-48","04739010","ISENTO","","N","206-2","06","",""
"RS","11.436.099/0001-95","90110230","ISENTO","","N","206-2","06","",""
"MG","33.248.722/0001-19","39800015","0034162820090","","N","","03","",""
"SP","50.930.013/0001-38","08693480","672641693111","","N","","03","",""
"BA","17.261.509/0010-81","40050310","ISENTO","","N","","06","",""
"RJ","21.990.789/0001-45","26013120","ISENTO","","N","206-2","06","",""
"DF","33.621.384/1959-63","70830353","0731887600209","","N","","06","",""
"RJ","34.151.100/0009-98","27977300","79151440","","N","205-4","03","",""
"MG","33.641.663/0060-02","36707899","0049590890008","","N","306-9","03","",""
"SP","02.013.873/0001-64","13480644","417143123113","","N","","03","",""
"ES","10.935.678/0001-10","29702821","ISENTO","","N","206-2","06","",""
"PR","58.691.909/0001-13","87180000","ISENTO","","N","213-5","06","",""
"SP","58.795.303/0001-28","06454000","206836645110","","N","206-2","03","",""
"RJ","02.976.581/0006-31","28898008","11756093","","N","206-2","03","",""
"SC","08.313.517/0001-42","88240000","255261748","","N","","03","",""
"RS","03.158.370/0001-40","92020392","ISENTO","","N","223-2","06","",""
"SP","49.445.732/0001-84","04302020","ISENTO","","N","224-0","06","",""
"RS","03.332.469/0001-16","96810192","ISENTO","","N","206-2","06","",""
"PR","29.963.344/0001-88","81150240","ISENTO","","N","213-5","06","",""
"PR","75.784.140/0001-05","87213000","8330187795","","N","","03","",""
"PA","14.202.186/0002-57","68515000","155548280","","N","","03","",""
"PR","11.136.197/0001-07","86050460","ISENTO","","N","206-2","06","",""
"SP","31.332.061/0001-80","18960000","212019102118","","N","230-5","03","",""
"MG","04.191.784/0001-33","30112010","0028004090036","","N","","03","",""
"RS","08.386.498/0001-84","95670038","0560071574","","N","","03","",""
"MG","03.200.562/0001-77","36500006","6990271160095","","N","","03","",""
"MG","21.253.729/0007-35","35680590","3381236730662","","N","","03","",""
"SP","59.408.005/0001-09","13212216","120602762116","","N","","03","",""
"SP","13.462.848/0001-84","13613100","415064591114","","N","","03","",""
"MT","05.502.368/0001-71","78043538","132150255","","N","","03","",""
"RJ","10.914.634/0001-03","23898893","78795700","","N","","03","",""
"MT","11.505.840/0001-22","78698000","ISENTO","","N","206-2","06","",""
"SP","22.968.897/0002-65","13303529","ISENTO","","N","","06","",""
"RS","89.370.787/0001-97","90480140","ISENTO","","N","","06","",""
"CE","07.047.251/0001-70","60135040","061058483","","N","204-6","03","",""
